                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.21372,                0.64767,                      1,                0.27468,              8.568e-05,              8.568e-05,              8.568e-05
                      2,                0.10985,                0.94819,                      1,                0.20598,             0.00016966,             0.00016966,             0.00016966
                      3,                0.06568,                0.98964,                      1,                0.16703,             0.00024446,             0.00024446,             0.00024446
                      4,                0.02709,                      1,                      1,                  0.146,             0.00031007,             0.00031007,             0.00031007
                      5,                0.01454,                      1,                      1,                0.14124,             0.00036648,             0.00036648,             0.00036648
                      6,                0.00645,                      1,                      1,                0.13829,             0.00041371,             0.00041371,             0.00041371
                      7,                0.00991,                      1,                      1,                 0.1365,             0.00045175,             0.00045175,             0.00045175
                      8,                0.00388,                      1,                      1,                0.13631,              0.0004666,              0.0004666,              0.0004666
                      9,                0.00807,                      1,                      1,                0.13567,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00192,                      1,                      1,                0.13551,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00101,                      1,                      1,                0.13559,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00115,                      1,                      1,                0.13584,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00171,                      1,                      1,                0.13538,             0.00032523,             0.00032523,             0.00032523
                     14,                0.00157,                      1,                      1,                0.13532,             0.00028988,             0.00028988,             0.00028988
                     15,                 0.0068,                      1,                      1,                0.13536,             0.00025454,             0.00025454,             0.00025454
                     16,                0.00142,                      1,                      1,                0.13526,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00593,                      1,                      1,                0.13524,             0.00018385,             0.00018385,             0.00018385
                     18,                 0.0009,                      1,                      1,                0.13529,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00451,                      1,                      1,                0.13524,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00071,                      1,                      1,                 0.1353,             7.7826e-05,             7.7826e-05,             7.7826e-05
